Unnamed: 0,Cuentas,AVLA 12 / 2021,BAN TATTERSALL 12 / 2021,BCI 12 / 2021,CONTEMPORA 12 / 2021,DANK 12 / 2021,ECR OSORNO 12 / 2021,ELOY 12 / 2021,FINMAS 12 / 2021,LARRAIN VIAL 12 / 2021,LATAM TRADE CAPITAL 12 / 2021,MOONK 12 / 2021,NUEVO CAPITAL 12 / 2021,TANNER 12 / 2021,Fecha
1,RUT,76.268.236-2,76.977.670-2,76.466.468-K,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.609.787-1,99.587.310-9,76.148.647-0,76.727.442-4,76.899.853-1,76.313.350-8,Diciembre de 2021
2,Razón social,AVLA,BAN TATTERSALL,BCI,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINMAS,LARRAIN VIAL,LATAM TRADE CAPITAL,MOONK,NUEVO CAPITAL,TANNER,Diciembre de 2021
3,,,,,,,,,,,,,,,Diciembre de 2021
4,Estado de situación financiera,,,,,,,,,,,,,,Diciembre de 2021
5,Activos,,,,,,,,,,,,,,Diciembre de 2021
6,11.01.00 Efectivo y efectivo equivalente,692292,398118,3480,649250,14295,30813,202088,199974,667491,419462,156435,849558,819,Diciembre de 2021
7,11.02.00 Instrumentos financieros,0,0,0,0,144223,0,0,0,1100205,0,0,0,0,Diciembre de 2021
8,11.02.10 A valor razonable - Cartera propia disponible,0,0,0,0,144223,0,0,0,1100205,0,0,0,0,Diciembre de 2021
9,11.02.11 Renta variable (IRV),,,,0,144223,,,0,1100205,,,,,Diciembre de 2021
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,,0,,,,,0,,0,,,,Diciembre de 2021
11,11.02.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2021
12,11.02.21 Renta variable,,,,,,,,0,,0,,,,Diciembre de 2021
13,11.02.22 Renta fija e Intermediación Financiera,,,,,,,,0,,0,,,,Diciembre de 2021
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,,,,,,,0,,0,,,,Diciembre de 2021
15,11.02.40 A costo amortizado - Cartera propia disponible,,,,,,,,0,,0,,,,Diciembre de 2021
16,11.02.50 A costo amortizado - Cartera propia comprometida,,,,,,,,0,,0,,,,Diciembre de 2021
17,11.02.60 A costo amortizado - Operaciones de financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2021
18,11.02.61 Operaciones de compra con retroventa sobre IRV,,,,,,,,0,,0,,,,Diciembre de 2021
19,11.02.62 Operaciones de compra con retroventa sobre IRF e IIF,,,,,,,,0,,0,,,,Diciembre de 2021
20,11.02.63 Otras,,,,,,,,0,,0,,,,Diciembre de 2021
21,11.03.00 Productos,0,1083404,14455306,0,0,237803,0,0,35732,576283,0,0,0,Diciembre de 2021
22,11.03.10 A valor razonable - Cartera propia disponible,0,1083404,14342802,0,0,237803,0,0,35732,0,0,0,0,Diciembre de 2021
23,11.03.11 Productos agropecuarios,,,,,,,,,,0,,,,Diciembre de 2021
24,11.03.12 Títulos representativos de productos agropecuarios (TRP),,0,,,,,,,,0,,,,Diciembre de 2021
25,11.03.13 Facturas,,1083404,14342802,,,237803,,,35732,0,,0,,Diciembre de 2021
26,11.03.14 Títulos representativos de facturas (TRF),,,,,,,,,,0,,,,Diciembre de 2021
27,11.03.15 Otros,,,,,,,,,,0,,,,Diciembre de 2021
28,11.03.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2021
29,11.03.21 Productos agropecuarios,,,,,,,,,,0,,,,Diciembre de 2021
30,11.03.22 Títulos representativos de productos agropecuarios,,,,,,,,,,0,,,,Diciembre de 2021
31,11.03.23 Otros,,,,,,,,,,0,,,,Diciembre de 2021
32,11.03.30 A valor razonable - Instrumentos derivados,,,,,,,,,,0,,,,Diciembre de 2021
33,11.03.40 A costo amortizado - Cartera propia disponible,0,0,0,0,0,0,0,0,0,576283,0,0,0,Diciembre de 2021
34,11.03.41 Facturas,,,,,,,,,,576283,,,,Diciembre de 2021
35,11.03.42 Títulos representativos de facturas,,,,,,,,,,0,,,,Diciembre de 2021
36,11.03.43 Otros,,,,,,,,,,0,,,,Diciembre de 2021
37,11.03.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,0,,,,Diciembre de 2021
38,11.03.60 A costo amortizado - Operaciones de financiamiento,0,0,112504,0,0,0,0,0,0,0,0,0,0,Diciembre de 2021
39,11.03.61 Operaciones de compra con retroventa sobre productos agropecuarios,,,,,,,,,,0,,,,Diciembre de 2021
40,11.03.62 Operaciones de compra con retroventa sobre TRP,,,112504,,,,,,,0,,,,Diciembre de 2021
41,11.03.63 Otras,,,,,,,,0,,0,,,,Diciembre de 2021
42,11.04.00 Deudores por intermediación,,,0,0,,,,0,,0,,430093,,Diciembre de 2021
43,11.05.00 Cuentas por cobrar por operaciones de cartera propia,,,,,,,,,,0,,,,Diciembre de 2021
44,11.06.00 Cuentas por cobrar a partes relacionadas,7059,8385,7572824,17051,94102,,,1503,0,0,,26186,548410,Diciembre de 2021
45,11.07.00 Otras cuentas por cobrar,0,15113,0,2017,,1635,,537,3104,0,,,3240,Diciembre de 2021
46,11.08.00 Impuestos por cobrar,15737,5621,61786,,2748,6400,23968,548,23376,12183,18938,47228,65630,Diciembre de 2021
47,11.09.00 Impuestos diferidos,30486,102508,259882,104388,35460,25480,12291,18471,348352,68187,39143,7159,154866,Diciembre de 2021
48,11.10.00 Inversiones en sociedades,26103,154823,,178462,25568,155131,27470,,154823,0,,44235,,Diciembre de 2021
49,11.11.00 Intangibles,0,4538,0,0,,0,3779,50411,,33705,50652,40884,,Diciembre de 2021
50,"11.12.00 Propiedades, planta y equipo",0,0,949,677,,0,13000,3102,,130,82,0,,Diciembre de 2021
51,11.13.00 Otros activos,1578,1111520,0,,415,0,,4492,0,1779,1590,728,619,Diciembre de 2021
52,10.00.00 Total Activos,773255,2884030,22354227,951845,316811,457262,282596,279038,2333083,1111729,266840,1446071,773584,Diciembre de 2021
53,Pasivos y Patrimonio,,,,,,,,,,,,,,Diciembre de 2021
54,Pasivos,,,,,,,,,,,,,,Diciembre de 2021
55,21.01.00 Pasivos financieros,0,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2021
56,21.01.10 A valor razonable,,,,,,,,,,0,,,,Diciembre de 2021
57,21.01.20 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,0,,,,Diciembre de 2021
58,21.01.30 Obligaciones por financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2021
59,21.01.31 Operaciones de venta con retrocompra sobre IRV,,,,,,,,,,0,,,,Diciembre de 2021
60,21.01.32 Operaciones de venta con retrocompra sobre IRF e IIF,,,,,,,,,,0,,,,Diciembre de 2021
61,21.01.33 Otras,,,,,,,,,,0,,,,Diciembre de 2021
62,21.02.00 Pasivos del mercado de productos,0,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2021
63,21.02.10 A valor razonable,,,,,,,,,,0,,,,Diciembre de 2021
64,21.02.20 A valor razonable - Instrumentos derivados,,,,,,,,,,0,,,,Diciembre de 2021
65,21.02.30 Obligaciones por financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2021
66,21.02.31 Operaciones de venta con retrocompra sobre productos agropecuarios,,,,,,,,0,,0,,,,Diciembre de 2021
67,21.02.32 Operaciones de venta con retrocompra sobre TRP,,,,,,,,,0,0,,,,Diciembre de 2021
68,21.02.33 Otras,,,,,,,,,,0,,,,Diciembre de 2021
69,21.03.00 Obligaciones con bancos e instituciones financieras,,1348509,,,,,101979,,,0,,,,Diciembre de 2021
70,21.04.00 Acreedores por intermediación,,0,,0,,,,0,,0,,831468,,Diciembre de 2021
71,21.05.00 Cuentas por pagar por operaciones de cartera propia,,0,9579635,,,,,0,,0,,,,Diciembre de 2021
72,21.06.00 Cuentas por pagar a partes relacionadas,480960,216,11589690,0,,,,10854,0,43419,,,,Diciembre de 2021
73,21.07.00 Otras cuentas por pagar,22535,19758,17220,256349,4926,239,23326,21446,1429055,399469,4459,1327,21134,Diciembre de 2021
74,21.08.00 Provisiones,0,9013,89299,2924,6886,4234,,3532,30309,6519,0,39510,10504,Diciembre de 2021
75,21.09.00 Impuestos por pagar,0,0,0,3301,2214,49,293,5186,2126,787,64,19824,3612,Diciembre de 2021
76,21.10.00 Impuestos diferidos,0,1225,,,,,,,,0,,,,Diciembre de 2021
77,21.11.00 Otros pasivos,0,8999,,,,,,,,0,,,,Diciembre de 2021
78,21.00.00 Total Pasivos,503495,1387720,21275844,262574,14026,4522,125598,41018,1461490,450194,4523,892129,35250,Diciembre de 2021
79,Patrimonio,,,,,,,,,,,,,,Diciembre de 2021
80,22.01.00 Capital,311661,433711,1290423,720453,389572,387118,214000,358728,701188,484476,343000,480000,902046,Diciembre de 2021
