Unnamed: 0,Cuentas,AVLA 03 / 2020,BAN TATTERSALL 03 / 2020,BCI 03 / 2020,CONTEMPORA 03 / 2020,DANK 03 / 2020,ECR OSORNO 03 / 2020,ELOY 03 / 2020,FINMAS 03 / 2020,LARRAIN VIAL 03 / 2020,LATAM TRADE CAPITAL 03 / 2020,MOONK 03 / 2020,NUEVO CAPITAL 03 / 2020,TANNER 03 / 2020,Fecha
1,RUT,76.268.236-2,76.977.670-2,76.466.468-K,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.609.787-1,99.587.310-9,76.148.647-0,76.727.442-4,76.899.853-1,76.313.350-8,Marzo de 2020
2,Razón social,AVLA,BAN TATTERSALL,BCI,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINMAS,LARRAIN VIAL,LATAM TRADE CAPITAL,MOONK,NUEVO CAPITAL,TANNER,Marzo de 2020
3,,,,,,,,,,,,,,,Marzo de 2020
4,Estado de situación financiera,,,,,,,,,,,,,,Marzo de 2020
5,Activos,,,,,,,,,,,,,,Marzo de 2020
6,11.01.00 Efectivo y efectivo equivalente,255603,102869,2658,654435,23789,17826,299308,254718,6942,468833,145468,262020,1066835,Marzo de 2020
7,11.02.00 Instrumentos financieros,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2020
8,11.02.10 A valor razonable - Cartera propia disponible,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2020
9,11.02.11 Renta variable (IRV),,,,0,0,,,,0,,,,,Marzo de 2020
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,,,,,,,,,0,,,,Marzo de 2020
11,11.02.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2020
12,11.02.21 Renta variable,,,,,,,,,,0,,,,Marzo de 2020
13,11.02.22 Renta fija e Intermediación Financiera,,,,,,,,,,0,,,,Marzo de 2020
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,0,,,,Marzo de 2020
15,11.02.40 A costo amortizado - Cartera propia disponible,,,,,,,,,,0,,,,Marzo de 2020
16,11.02.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,0,,,,Marzo de 2020
17,11.02.60 A costo amortizado - Operaciones de financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2020
18,11.02.61 Operaciones de compra con retroventa sobre IRV,,,,,,,,,,0,,,,Marzo de 2020
19,11.02.62 Operaciones de compra con retroventa sobre IRF e IIF,,,,,,,,,,0,,,,Marzo de 2020
20,11.02.63 Otras,,,,,,,,,,0,,,,Marzo de 2020
21,11.03.00 Productos,0,791841,8976662,0,0,316513,0,0,1344218,1245810,0,0,0,Marzo de 2020
22,11.03.10 A valor razonable - Cartera propia disponible,0,791841,8344570,0,0,316513,0,0,1344218,0,0,0,0,Marzo de 2020
23,11.03.11 Productos agropecuarios,,,,,,,,,,0,,,,Marzo de 2020
24,11.03.12 Títulos representativos de productos agropecuarios (TRP),,208842,,,,,,,,0,,,,Marzo de 2020
25,11.03.13 Facturas,,582999,8344570,,,316513,,,1344218,0,,,,Marzo de 2020
26,11.03.14 Títulos representativos de facturas (TRF),,,,,,,,,,0,,,,Marzo de 2020
27,11.03.15 Otros,,,,,,,,,,0,,,,Marzo de 2020
28,11.03.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2020
29,11.03.21 Productos agropecuarios,,,,,,,,,,0,,,,Marzo de 2020
30,11.03.22 Títulos representativos de productos agropecuarios,,,,,,,,,,0,,,,Marzo de 2020
31,11.03.23 Otros,,,,,,,,,,0,,,,Marzo de 2020
32,11.03.30 A valor razonable - Instrumentos derivados,,,,,,,,,,0,,,,Marzo de 2020
33,11.03.40 A costo amortizado - Cartera propia disponible,0,0,632092,0,0,0,0,0,0,1245810,0,0,0,Marzo de 2020
34,11.03.41 Facturas,,,632092,,,,,,,1245810,,,,Marzo de 2020
35,11.03.42 Títulos representativos de facturas,,,,,,,,,,0,,,,Marzo de 2020
36,11.03.43 Otros,,,,,,,,,,0,,,,Marzo de 2020
37,11.03.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,0,,,,Marzo de 2020
38,11.03.60 A costo amortizado - Operaciones de financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2020
39,11.03.61 Operaciones de compra con retroventa sobre productos agropecuarios,,,,,,,,,,0,,,,Marzo de 2020
40,11.03.62 Operaciones de compra con retroventa sobre TRP,,,,,,,,,,0,,,,Marzo de 2020
41,11.03.63 Otras,,,,,,,,,,0,,,,Marzo de 2020
42,11.04.00 Deudores por intermediación,,,,0,,,511630,491386,,0,,,,Marzo de 2020
43,11.05.00 Cuentas por cobrar por operaciones de cartera propia,,,,,,,,,,0,,,,Marzo de 2020
44,11.06.00 Cuentas por cobrar a partes relacionadas,,277119,130761,6406,47145,,,1428,0,0,,417196,,Marzo de 2020
45,11.07.00 Otras cuentas por cobrar,0,209915,14244,16684,200000,0,,,4556,0,,,64,Marzo de 2020
46,11.08.00 Impuestos por cobrar,8008,8758,25178,,1785,1083,17733,4121,109446,21400,12014,7434,60650,Marzo de 2020
47,11.09.00 Impuestos diferidos,0,81782,238794,69450,24053,671,269,38816,197281,3103,27260,3384,53037,Marzo de 2020
48,11.10.00 Inversiones en sociedades,25945,151340,,174974,24993,151488,26852,,151340,0,,43240,183750,Marzo de 2020
49,11.11.00 Intangibles,0,11125,6731,0,,0,10983,45595,,33705,51547,45729,,Marzo de 2020
50,"11.12.00 Propiedades, planta y equipo",0,1361,1642,0,,0,15179,2869,,0,426,,,Marzo de 2020
51,11.13.00 Otros activos,1702,1255172,1179,,130,562,,4614,1486,5601,1317,1767,2316,Marzo de 2020
52,10.00.00 Total Activos,291258,2891282,9397849,921949,321895,488143,881954,843547,1815269,1778452,238032,780770,1366652,Marzo de 2020
53,Pasivos y Patrimonio,,,,,,,,,,,,,,Marzo de 2020
54,Pasivos,,,,,,,,,,,,,,Marzo de 2020
55,21.01.00 Pasivos financieros,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2020
56,21.01.10 A valor razonable,,,,,,,,,,0,,,,Marzo de 2020
57,21.01.20 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,0,,,,Marzo de 2020
58,21.01.30 Obligaciones por financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2020
59,21.01.31 Operaciones de venta con retrocompra sobre IRV,,,,,,,,,,0,,,,Marzo de 2020
60,21.01.32 Operaciones de venta con retrocompra sobre IRF e IIF,,,,,,,,,,0,,,,Marzo de 2020
61,21.01.33 Otras,,,,,,,,,,0,,,,Marzo de 2020
62,21.02.00 Pasivos del mercado de productos,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2020
63,21.02.10 A valor razonable,,,,,,,,,,0,,,,Marzo de 2020
64,21.02.20 A valor razonable - Instrumentos derivados,,,,,,,,,,0,,,,Marzo de 2020
65,21.02.30 Obligaciones por financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2020
66,21.02.31 Operaciones de venta con retrocompra sobre productos agropecuarios,,,,,,,,,,0,,,,Marzo de 2020
67,21.02.32 Operaciones de venta con retrocompra sobre TRP,,,,,,,,,0,0,,,,Marzo de 2020
