Unnamed: 0,Cuentas,AVLA 03 / 2021,BAN TATTERSALL 03 / 2021,BCI 03 / 2021,CONTEMPORA 03 / 2021,DANK 03 / 2021,ECR OSORNO 03 / 2021,ELOY 03 / 2021,FINMAS 03 / 2021,LARRAIN VIAL 03 / 2021,LATAM TRADE CAPITAL 03 / 2021,MOONK 03 / 2021,NUEVO CAPITAL 03 / 2021,TANNER 03 / 2021,Fecha
1,RUT,76.268.236-2,76.977.670-2,76.466.468-K,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.609.787-1,99.587.310-9,76.148.647-0,76.727.442-4,76.899.853-1,76.313.350-8,Marzo de 2021
2,Razón social,AVLA,BAN TATTERSALL,BCI,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINMAS,LARRAIN VIAL,LATAM TRADE CAPITAL,MOONK,NUEVO CAPITAL,TANNER,Marzo de 2021
3,,,,,,,,,,,,,,,Marzo de 2021
4,Estado de situación financiera,,,,,,,,,,,,,,Marzo de 2021
5,Activos,,,,,,,,,,,,,,Marzo de 2021
6,11.01.00 Efectivo y efectivo equivalente,255580,193527,2370,968798,8071,20229,201575,192894,1489417,156211,138033,158638,571,Marzo de 2021
7,11.02.00 Instrumentos financieros,0,0,0,0,137142,0,0,0,0,0,0,0,0,Marzo de 2021
8,11.02.10 A valor razonable - Cartera propia disponible,0,0,0,0,137142,0,0,0,0,0,0,0,0,Marzo de 2021
9,11.02.11 Renta variable (IRV),,,,0,137142,,,,0,,,,,Marzo de 2021
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,,,,,,,,,0,,,,Marzo de 2021
11,11.02.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2021
12,11.02.21 Renta variable,,,,,,,,,,0,,,,Marzo de 2021
13,11.02.22 Renta fija e Intermediación Financiera,,,,,,,,,,0,,,,Marzo de 2021
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,0,,,,Marzo de 2021
15,11.02.40 A costo amortizado - Cartera propia disponible,,,,,,,,,,0,,,,Marzo de 2021
16,11.02.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,0,,,,Marzo de 2021
17,11.02.60 A costo amortizado - Operaciones de financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2021
18,11.02.61 Operaciones de compra con retroventa sobre IRV,,,,,,,,,,0,,,,Marzo de 2021
19,11.02.62 Operaciones de compra con retroventa sobre IRF e IIF,,,,,,,,,,0,,,,Marzo de 2021
20,11.02.63 Otras,,,,,,,,,,0,,,,Marzo de 2021
21,11.03.00 Productos,0,992150,5540178,0,0,255836,0,0,216914,710630,0,305035,0,Marzo de 2021
22,11.03.10 A valor razonable - Cartera propia disponible,0,992150,4638488,0,0,255836,0,0,216914,0,0,305035,0,Marzo de 2021
23,11.03.11 Productos agropecuarios,,,,,,,,,,0,,,,Marzo de 2021
24,11.03.12 Títulos representativos de productos agropecuarios (TRP),,0,,,,,,,,0,,,,Marzo de 2021
25,11.03.13 Facturas,,992150,4638488,,,255836,,,216914,0,,305035,,Marzo de 2021
26,11.03.14 Títulos representativos de facturas (TRF),,,,,,,,,,0,,,,Marzo de 2021
27,11.03.15 Otros,,,,,,,,,,0,,,,Marzo de 2021
28,11.03.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2021
29,11.03.21 Productos agropecuarios,,,,,,,,,,0,,,,Marzo de 2021
30,11.03.22 Títulos representativos de productos agropecuarios,,,,,,,,,,0,,,,Marzo de 2021
31,11.03.23 Otros,,,,,,,,,,0,,,,Marzo de 2021
32,11.03.30 A valor razonable - Instrumentos derivados,,,,,,,,,,0,,,,Marzo de 2021
33,11.03.40 A costo amortizado - Cartera propia disponible,0,0,819752,0,0,0,0,0,0,710630,0,0,0,Marzo de 2021
34,11.03.41 Facturas,,,819752,,,,,,,710630,,,,Marzo de 2021
35,11.03.42 Títulos representativos de facturas,,,,,,,,,,0,,,,Marzo de 2021
36,11.03.43 Otros,,,,,,,,,,0,,,,Marzo de 2021
37,11.03.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,0,,,,Marzo de 2021
38,11.03.60 A costo amortizado - Operaciones de financiamiento,0,0,81938,0,0,0,0,0,0,0,0,0,0,Marzo de 2021
