Unnamed: 0,Cuentas,ADDWISE 03 / 2017,AVLA 03 / 2017,BAN TATTERSALL 03 / 2017,BCI 03 / 2017,CONTEMPORA 03 / 2017,DANK 03 / 2017,ECR OSORNO 03 / 2017,ELOY 03 / 2017,FINANCIA CAPITAL 03 / 2017,LARRAIN VIAL 03 / 2017,LATAM TRADE CAPITAL 03 / 2017,TANNER 03 / 2017,Fecha
1,RUT,76.147.513-4,76.268.236-2,76.977.670-2,76.466.468-K,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.089.848-1,99.587.310-9,76.148.647-0,76.313.350-8,Marzo de 2017
2,Razón social,ADDWISE,AVLA,BAN TATTERSALL,BCI,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINANCIA CAPITAL,LARRAIN VIAL,LATAM TRADE CAPITAL,TANNER,Marzo de 2017
3,,,,,,,,,,,,,,Marzo de 2017
4,Estado de situación financiera,,,,,,,,,,,,,Marzo de 2017
5,Activos,,,,,,,,,,,,,Marzo de 2017
6,11.01.00 Efectivo y efectivo equivalente,449554,266530,856490,102,572434,2589,236435,157416,34953,583097,54563,283122,Marzo de 2017
7,11.02.00 Instrumentos financieros,0,0,1466553,421174,0,0,0,0,0,450142,0,803895,Marzo de 2017
8,11.02.10 A valor razonable - Cartera propia disponible,0,0,0,421174,0,0,0,0,0,450142,0,803895,Marzo de 2017
9,11.02.11 Renta variable (IRV),,,,,0,,,,,450142,,803895,Marzo de 2017
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,,,421174,,,,,,,,0,Marzo de 2017
11,11.02.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2017
12,11.02.21 Renta variable,,,,,,,,,,,,0,Marzo de 2017
13,11.02.22 Renta fija e Intermediación Financiera,,,,,,,,,,,,0,Marzo de 2017
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,,,0,Marzo de 2017
15,11.02.40 A costo amortizado - Cartera propia disponible,,,1466553,,,,,,,,,0,Marzo de 2017
16,11.02.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,,,0,Marzo de 2017
17,11.02.60 A costo amortizado - Operaciones de financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2017
18,11.02.61 Operaciones de compra con retroventa sobre IRV,,,,,,,,,,,,0,Marzo de 2017
19,11.02.62 Operaciones de compra con retroventa sobre IRF e IIF,,,,,,,,,,,,0,Marzo de 2017
20,11.02.63 Otras,,,,,,,,,0,,,0,Marzo de 2017
21,11.03.00 Productos,0,0,0,4452792,0,0,0,0,0,530492,258398,0,Marzo de 2017
22,11.03.10 A valor razonable - Cartera propia disponible,0,0,0,4452792,0,0,0,0,0,530492,0,0,Marzo de 2017
23,11.03.11 Productos agropecuarios,,,,,,,,,,,,0,Marzo de 2017
24,11.03.12 Títulos representativos de productos agropecuarios (TRP),,,,,,,,,,,,0,Marzo de 2017
25,11.03.13 Facturas,,,,4452792,,,0,,,530492,,0,Marzo de 2017
26,11.03.14 Títulos representativos de facturas (TRF),,,,,,,,,,,,0,Marzo de 2017
27,11.03.15 Otros,,,,,,,,,,,,0,Marzo de 2017
28,11.03.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2017
29,11.03.21 Productos agropecuarios,,,,,,,,,,,,0,Marzo de 2017
30,11.03.22 Títulos representativos de productos agropecuarios,,,,,,,,,,,,0,Marzo de 2017
31,11.03.23 Otros,,,,,,,,,,,,0,Marzo de 2017
32,11.03.30 A valor razonable - Instrumentos derivados,,,,,,,,,,,,0,Marzo de 2017
33,11.03.40 A costo amortizado - Cartera propia disponible,0,0,0,0,0,0,0,0,0,0,258398,0,Marzo de 2017
34,11.03.41 Facturas,,,,,,,,,,,258398,0,Marzo de 2017
35,11.03.42 Títulos representativos de facturas,,,,,,,,,,,,0,Marzo de 2017
36,11.03.43 Otros,,,,,,,,,,,,0,Marzo de 2017
37,11.03.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,,,0,Marzo de 2017
38,11.03.60 A costo amortizado - Operaciones de financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2017
39,11.03.61 Operaciones de compra con retroventa sobre productos agropecuarios,,,,,,,,,,,,0,Marzo de 2017
40,11.03.62 Operaciones de compra con retroventa sobre TRP,,,,,,,,,,0,,0,Marzo de 2017
41,11.03.63 Otras,,,,,,,,,,,,0,Marzo de 2017
42,11.04.00 Deudores por intermediación,10796,,227900,,0,,,737059,,0,0,0,Marzo de 2017
43,11.05.00 Cuentas por cobrar por operaciones de cartera propia,,,,,,,,,,,,66542,Marzo de 2017
44,11.06.00 Cuentas por cobrar a partes relacionadas,,,159533,0,0,,,,510552,33801,322103,0,Marzo de 2017
45,11.07.00 Otras cuentas por cobrar,12717,,925930,581719,8433,21210,,385190,0,9,,50771,Marzo de 2017
46,11.08.00 Impuestos por cobrar,9085,1401,82429,967,,3145,6987,11700,8323,6720,37918,4488,Marzo de 2017
47,11.09.00 Impuestos diferidos,1979,0,4001,15066,57022,34623,1295,2331,710,6029,6256,29248,Marzo de 2017
48,11.10.00 Inversiones en sociedades,,24332,197840,,170284,24219,146796,26026,0,146653,,138380,Marzo de 2017
49,11.11.00 Intangibles,12414,17496,975,20046,54,,0,7293,21202,1056,33705,0,Marzo de 2017
50,"11.12.00 Propiedades, planta y equipo",298,0,1566,,231,,0,5810,705,,489,226,Marzo de 2017
51,11.13.00 Otros activos,0,3259,3103,1212,,185565,1647,9388,1271,0,34118,3513,Marzo de 2017
52,10.00.00 Total Activos,496843,313018,3926320,5493078,808458,271351,393160,1342213,577716,1757999,747550,1380185,Marzo de 2017
53,Pasivos y Patrimonio,,,,,,,,,,,,,Marzo de 2017
54,Pasivos,,,,,,,,,,,,,Marzo de 2017
55,21.01.00 Pasivos financieros,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2017
56,21.01.10 A valor razonable,,,,,,,,,,,,,Marzo de 2017
57,21.01.20 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,,,,Marzo de 2017
58,21.01.30 Obligaciones por financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2017
59,21.01.31 Operaciones de venta con retrocompra sobre IRV,,,,,,,,,,,,,Marzo de 2017
60,21.01.32 Operaciones de venta con retrocompra sobre IRF e IIF,,,,,,,,,,,,,Marzo de 2017
61,21.01.33 Otras,,,,,,,,,,,,,Marzo de 2017
62,21.02.00 Pasivos del mercado de productos,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2017
63,21.02.10 A valor razonable,,,,,,,,,,,,,Marzo de 2017
64,21.02.20 A valor razonable - Instrumentos derivados,,,,,,,,,,,,,Marzo de 2017
65,21.02.30 Obligaciones por financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2017
66,21.02.31 Operaciones de venta con retrocompra sobre productos agropecuarios,,,,,,,,,,,,,Marzo de 2017
67,21.02.32 Operaciones de venta con retrocompra sobre TRP,,,,,,,,,,0,,,Marzo de 2017
68,21.02.33 Otras,,,,,,,,,,,,,Marzo de 2017
69,21.03.00 Obligaciones con bancos e instituciones financieras,,,1244361,,,,,,0,,,0,Marzo de 2017
70,21.04.00 Acreedores por intermediación,250915,,,,0,,,876404,9703,0,0,0,Marzo de 2017
71,21.05.00 Cuentas por pagar por operaciones de cartera propia,,,,1241921,,,,,,,0,0,Marzo de 2017
72,21.06.00 Cuentas por pagar a partes relacionadas,0,78809,161290,3707829,,18795,,,12913,,277027,908,Marzo de 2017
73,21.07.00 Otras cuentas por pagar,2682,473,992861,66337,109270,8786,3700,63224,7977,600833,33338,77190,Marzo de 2017
74,21.08.00 Provisiones,3975,11577,13655,35408,5897,11125,8157,9483,2784,36885,1280,10221,Marzo de 2017
75,21.09.00 Impuestos por pagar,126,797,44629,2546,2290,6665,587,43972,2518,108316,106,0,Marzo de 2017
76,21.10.00 Impuestos diferidos,,0,,,,,,,0,,,987,Marzo de 2017
77,21.11.00 Otros pasivos,0,0,16155,,,,,,,,,2254,Marzo de 2017
78,21.00.00 Total Pasivos,257698,91656,2472951,5054041,117457,45371,12444,993083,35895,746034,311751,91560,Marzo de 2017
79,Patrimonio,,,,,,,,,,,,,Marzo de 2017
80,22.01.00 Capital,197000,180000,433711,460000,720453,319572,387118,214000,285060,701188,378000,902046,Marzo de 2017
81,22.02.00 Reservas,,,149,-265,-18865,,4940,1474,-5060,18524,,-25833,Marzo de 2017
82,22.03.00 Resultados acumulados,46119,42309,1024183,-29664,-11679,-102247,-12137,129585,261690,236677,76083,438833,Marzo de 2017
83,22.04.00 Resultado del ejercicio,-3974,-947,-4674,12808,1092,8655,795,4071,188,55576,-18284,-26421,Marzo de 2017
84,22.05.00 Dividendos provisorios o participaciones,,,,-3842,,,,,-57,,,0,Marzo de 2017
85,22.00.00 Total Patrimonio,239145,221362,1453369,439037,691001,225980,380716,349130,541821,1011965,435799,1288625,Marzo de 2017
86,20.00.00 TOTAL PAC.M.F Y PATRIMONIO,496843,313018,3926320,5493078,808458,271351,393160,1342213,577716,1757999,747550,1380185,Marzo de 2017
87,,,,,,,,,,,,,,Marzo de 2017
88,Estado de resultados integrales,,,,,,,,,,,,,Marzo de 2017
89,Estado de resultados,,,,,,,,,,,,,Marzo de 2017
90,Resultado por intermediación,,,,,,,,,,,,,Marzo de 2017
91,30.10.01 Comisiones por operaciones bursátiles,22609,20961,172296,30079,36540,71144,1504,136895,21217,61439,4094,150,Marzo de 2017
92,30.10.02 Comisiones por operaciones extra bursátiles,,,,,,,,,,0,,0,Marzo de 2017
93,30.10.03 Gastos por comisiones y servicios,-9814,-19255,-47283,,-8536,-10015,-8146,-2309,-7118,-23681,-11649,-9561,Marzo de 2017
94,30.10.04 Otras comisiones,0,0,5645,,,8992,,,14925,,3479,0,Marzo de 2017
95,30.10.00 Total resultado por intermediación,12795,1706,130658,30079,28004,70121,-6642,134586,29024,37758,-4076,-9411,Marzo de 2017
96,Ingresos por servicios,,,,,,,,,,,,,Marzo de 2017
97,30.20.01 Ingresos por custodia,,,,,,,,,,,,,Marzo de 2017
98,30.20.02 Ingresos por asesorías,,,,,,4500,28779,,,98018,,0,Marzo de 2017
99,30.20.03 Otros ingresos por servicios,19807,0,,,,,,,,,,0,Marzo de 2017
100,30.20.00 Total ingresos por servicios,19807,0,0,0,0,4500,28779,0,0,98018,0,0,Marzo de 2017
101,Resultado por productos,,,,,,,,,,,,,Marzo de 2017
102,30.30.01 A valor razonable,,,,,,,2115,,,8226,,,Marzo de 2017
103,30.30.02 A valor razonable - Instrumentos derivados,,,,,,,,,,,,,Marzo de 2017
104,30.30.03 A costo amortizado,,,,76415,,,,,,,,-7978,Marzo de 2017
105,30.30.04 A costo amortizado - Operaciones de financiamiento,,,,,,,,,,,,,Marzo de 2017
106,30.30.00 Total resultado por productos,0,0,0,76415,0,0,2115,0,0,8226,0,-7978,Marzo de 2017
107,Resultado por instrumentos financieros,,,,,,,,,,,,,Marzo de 2017
108,30.40.01 A valor razonable,0,1385,,,491,3550,,,0,,0,3895,Marzo de 2017
109,30.40.02 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,,,,Marzo de 2017
110,30.40.03 A costo amortizado,,,,,,,,,0,,,,Marzo de 2017
111,30.40.04 A costo amortizado - Operaciones de financiamiento,,,,5147,,,,,,,,,Marzo de 2017
112,30.40.00 Total resultado por instrumentos financieros,0,1385,0,5147,491,3550,0,0,0,0,0,3895,Marzo de 2017
113,Resultado por operaciones de financiamiento,,,,,,,,,,,,,Marzo de 2017
114,30.50.01 Gastos por financiamiento del mercado de productos,,,,,,,,,,,,0,Marzo de 2017
115,30.50.02 Gastos por financiamiento del mercado de valores,,,,,,,,,,,,,Marzo de 2017
116,30.50.03 Otros gastos financieros,,,-16847,-35954,,-2234,,,,-3697,,,Marzo de 2017
117,30.50.00 Total resultado por operaciones de financiamiento,0,0,-16847,-35954,0,-2234,0,0,0,-3697,0,0,Marzo de 2017
118,Gastos de administración y comercialización,,,,,,,,,,,,,Marzo de 2017
119,30.60.01 Remuneraciones y gastos de personal,-19575,0,-63666,-43534,-17844,-20744,-20963,-87201,-5556,-61039,-5895,-13698,Marzo de 2017
120,30.60.02 Gastos de comercialización,-17001,0,,-13069,,,,,,-8003,,0,Marzo de 2017
121,30.60.03 Otros gastos de administración,0,-4785,-58130,-19647,-10714,-39973,-3871,-42621,-23119,0,-12989,-9617,Marzo de 2017
122,30.60.00 Total gastos de administración y comercialización,-36576,-4785,-121796,-76250,-28558,-60717,-24834,-129822,-28675,-69042,-18884,-23315,Marzo de 2017
123,Otros resultados,,,,,,,,,,,,,Marzo de 2017
124,30.70.01 Reajuste y diferencia de cambio,,1042,9,1937,,,,,4,,0,8,Marzo de 2017
125,30.70.02 Resultado de inversiones en sociedades,,0,1655,0,1063,,1063,,,-65,,0,Marzo de 2017
126,30.70.03 Otros ingresos (gastos),,-6,1647,14735,92,,314,,,1059,0,0,Marzo de 2017
127,30.70.00 Total otros resultados,0,1036,3311,16672,1155,0,1377,0,4,994,0,8,Marzo de 2017
128,30.80.00 Resultado antes de impuesto a la renta,-3974,-658,-4674,16109,1092,15220,795,4764,353,72257,-22960,-36801,Marzo de 2017
129,30.90.00 Impuesto a la renta,0,-289,,-3301,,-6565,0,-693,-165,-16681,4676,10380,Marzo de 2017
130,30.00.00 Utilidad (pérdida) del ejercicio,-3974,-947,-4674,12808,1092,8655,795,4071,188,55576,-18284,-26421,Marzo de 2017
131,Estado de otros resultados integrales,,,,,,,,,,,,,Marzo de 2017
132,30.00.00 Utilidad (pérdida) del ejercicio,-3974,-947,-4674,12808,1092,8655,795,4071,188,55576,-18284,-26421,Marzo de 2017
133,Ingresos (gastos) registrados con abono (cargo) a patrimonio,,,,,,,,,,,,,Marzo de 2017
134,"31.10.00 Revalorización de propiedades, planta y equipo",,,,,,,,,,,,,Marzo de 2017
135,31.20.00 Activos financieros a valor razonable por patrimonio,,,,,,,,189,,,,,Marzo de 2017
136,31.30.00 Participación de otros resultados integrales de inversiones en sociedades,,,,,,,,,,,,,Marzo de 2017
137,31.40.00 Otros ingresos (gastos) registrados con abono (cargo) a patrimonio,,,,472,,,,,,1127,,,Marzo de 2017
138,31.50.00 Impuesto a la renta de otros resultados integrales,,,,,,,,,,,,,Marzo de 2017
139,31.00.00 Total ingresos (gastos) registrados con abono (cargo) a patrimonio,0,0,0,472,0,0,0,189,0,1127,0,0,Marzo de 2017
140,32.00.00 Total resultados integrales reconocidos del ejercicio,-3974,-947,-4674,13280,1092,8655,795,4260,188,56703,-18284,-26421,Marzo de 2017
141,,,,,,,,,,,,,,Marzo de 2017
142,Estados de Flujos de efectivo - Método directo,,,,,,,,,,,,,Marzo de 2017
143,Flujo neto originado por actividades de la operación,,,,,,,,,,,,,Marzo de 2017
144,51.11.00 Comisiones recaudadas (pagadas) por intermediación de productos,22609,-283050,94367,30079,28004,-407309,1504,136895,14100,61439,30634,-8411,Marzo de 2017
145,51.12.00 Ingreso (egreso) neto por cuenta de clientes,,0,118107,,89670,,,-124266,,-449324,0,-425,Marzo de 2017
146,51.13.00 Ingreso (egreso) neto por instrumentos a valor razonable del mercado de productos,,0,,76415,,,221385,,,,,0,Marzo de 2017
147,51.14.00 Ingreso (egreso) neto por instrumentos derivados del mercado de productos,,,,,,,,,,,,0,Marzo de 2017
148,51.15.00 Ingreso (egreso) neto por instrumentos a costo amortizado del mercado de productos,,,36291,,,,,,,,-144349,160,Marzo de 2017
149,51.16.00 Ingreso (egreso) neto por asesorías y custodia,,0,,,,,28779,,,,,-314,Marzo de 2017
150,51.17.00 Gastos de administración y comercialización pagados,-57174,-1193,-183144,,-32163,-71964,-20215,-137939,-50578,-123638,-34850,-36570,Marzo de 2017
151,51.18.00 Impuestos pagados,0,0,,,-933,-20779,-1846,,-3030,-37943,-254,-1275,Marzo de 2017
152,51.19.00 Otros ingresos (egresos) netos por actividades de la operación,-260312,0,,54059,217,11937,-10864,-136259,14925,-911,0,0,Marzo de 2017
153,51.10.00 Flujo neto originado por actividades de la operación,-294877,-284243,65621,160553,84795,-488115,218743,-261569,-24583,-550377,-148819,-46835,Marzo de 2017
154,Flujo neto originado por actividades de financiamiento,,,,,,,,,,,,,Marzo de 2017
