Unnamed: 0,Cuentas,AVLA 09 / 2019,BAN TATTERSALL 09 / 2019,BCI 09 / 2019,CONTEMPORA 09 / 2019,DANK 09 / 2019,ECR OSORNO 09 / 2019,ELOY 09 / 2019,FINMAS 09 / 2019,LARRAIN VIAL 09 / 2019,LATAM TRADE CAPITAL 09 / 2019,MOONK 09 / 2019,NUEVO CAPITAL 09 / 2019,TANNER 09 / 2019,Fecha
1,RUT,76.268.236-2,76.977.670-2,76.466.468-K,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.609.787-1,99.587.310-9,76.148.647-0,76.727.442-4,76.899.853-1,76.313.350-8,Septiembre de 2019
2,Razón social,AVLA,BAN TATTERSALL,BCI,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINMAS,LARRAIN VIAL,LATAM TRADE CAPITAL,MOONK,NUEVO CAPITAL,TANNER,Septiembre de 2019
3,,,,,,,,,,,,,,,Septiembre de 2019
4,Estado de situación financiera,,,,,,,,,,,,,,Septiembre de 2019
5,Activos,,,,,,,,,,,,,,Septiembre de 2019
6,11.01.00 Efectivo y efectivo equivalente,277085,53392,168683,554232,40266,175180,338797,287163,629989,229653,147779,607223,768762,Septiembre de 2019
7,11.02.00 Instrumentos financieros,0,0,0,0,203991,0,0,0,0,0,0,0,297436,Septiembre de 2019
8,11.02.10 A valor razonable - Cartera propia disponible,0,0,0,0,203991,0,0,0,0,0,0,0,297436,Septiembre de 2019
9,11.02.11 Renta variable (IRV),,,,0,203991,,,,0,,,,,Septiembre de 2019
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,,0,,,,,,,0,,,297436,Septiembre de 2019
11,11.02.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,0,Septiembre de 2019
12,11.02.21 Renta variable,,,,,,,,,,0,,,,Septiembre de 2019
13,11.02.22 Renta fija e Intermediación Financiera,,,,,,,,,,0,,,,Septiembre de 2019
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,0,,,,Septiembre de 2019
15,11.02.40 A costo amortizado - Cartera propia disponible,,,,,,,,,,0,,,,Septiembre de 2019
16,11.02.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,0,,,,Septiembre de 2019
17,11.02.60 A costo amortizado - Operaciones de financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Septiembre de 2019
18,11.02.61 Operaciones de compra con retroventa sobre IRV,,,,,,,,,,0,,,,Septiembre de 2019
19,11.02.62 Operaciones de compra con retroventa sobre IRF e IIF,,,,,,,,,,0,,,,Septiembre de 2019
20,11.02.63 Otras,,,,,,,,,,0,,,,Septiembre de 2019
21,11.03.00 Productos,0,569453,7197426,0,0,177755,0,0,1187961,681623,0,0,0,Septiembre de 2019
22,11.03.10 A valor razonable - Cartera propia disponible,0,569453,7197426,0,0,177755,0,0,1187961,0,0,0,0,Septiembre de 2019
23,11.03.11 Productos agropecuarios,,,,,,,,,,0,,,,Septiembre de 2019
24,11.03.12 Títulos representativos de productos agropecuarios (TRP),,200823,,,,,,,,0,,,,Septiembre de 2019
25,11.03.13 Facturas,,368630,7197426,,,177755,,,1187961,0,,,,Septiembre de 2019
26,11.03.14 Títulos representativos de facturas (TRF),,,,,,,,,,0,,,,Septiembre de 2019
27,11.03.15 Otros,,,,,,,,,,0,,,,Septiembre de 2019
28,11.03.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,0,Septiembre de 2019
29,11.03.21 Productos agropecuarios,,,,,,,,,,0,,,,Septiembre de 2019
30,11.03.22 Títulos representativos de productos agropecuarios,,,,,,,,,,0,,,,Septiembre de 2019
31,11.03.23 Otros,,,,,,,,,,0,,,,Septiembre de 2019
32,11.03.30 A valor razonable - Instrumentos derivados,,,,,,,,,,0,,,,Septiembre de 2019
33,11.03.40 A costo amortizado - Cartera propia disponible,0,0,0,0,0,0,0,0,0,681623,0,0,0,Septiembre de 2019
34,11.03.41 Facturas,,,0,,,,,,,681623,,,,Septiembre de 2019
35,11.03.42 Títulos representativos de facturas,,,,,,,,,,0,,,,Septiembre de 2019
36,11.03.43 Otros,,,,,,,,,,0,,,,Septiembre de 2019
37,11.03.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,0,,,,Septiembre de 2019
38,11.03.60 A costo amortizado - Operaciones de financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Septiembre de 2019
39,11.03.61 Operaciones de compra con retroventa sobre productos agropecuarios,,,,,,,,,,0,,,,Septiembre de 2019
40,11.03.62 Operaciones de compra con retroventa sobre TRP,,,0,,,,,,,0,,,,Septiembre de 2019
41,11.03.63 Otras,,,,,,,,,,0,,,,Septiembre de 2019
42,11.04.00 Deudores por intermediación,,,0,0,,,749556,872007,,0,,,,Septiembre de 2019
43,11.05.00 Cuentas por cobrar por operaciones de cartera propia,,,,,,,,,,0,,,,Septiembre de 2019
44,11.06.00 Cuentas por cobrar a partes relacionadas,,388624,0,32391,,,,1428,17698,0,,,,Septiembre de 2019
45,11.07.00 Otras cuentas por cobrar,0,784380,292462,20010,14579,35,615,425,91476,0,,,,Septiembre de 2019
46,11.08.00 Impuestos por cobrar,4766,24439,6323,,1595,124,21516,2803,88580,14314,13132,,56393,Septiembre de 2019
47,11.09.00 Impuestos diferidos,0,111272,115497,61022,31891,164,648,24153,47696,13078,27260,2164,52068,Septiembre de 2019
48,11.10.00 Inversiones en sociedades,26685,202847,,181978,26148,158491,28093,,158336,0,,45233,183750,Septiembre de 2019
49,11.11.00 Intangibles,729,11485,8856,0,,,4124,45982,,33705,51995,47546,,Septiembre de 2019
50,"11.12.00 Propiedades, planta y equipo",0,2668,850,21,,,3480,2101,,0,524,,34,Septiembre de 2019
51,11.13.00 Otros activos,1674,1162353,1162,,908,555,11295,4496,1467,1170,2258,1333,2916,Septiembre de 2019
52,10.00.00 Total Activos,310939,3310913,7791259,849654,319378,512304,1158124,1240558,2223203,973543,242948,703499,1361359,Septiembre de 2019
53,Pasivos y Patrimonio,,,,,,,,,,,,,,Septiembre de 2019
54,Pasivos,,,,,,,,,,,,,,Septiembre de 2019
55,21.01.00 Pasivos financieros,0,0,0,0,0,0,0,0,0,0,0,0,0,Septiembre de 2019
56,21.01.10 A valor razonable,,,,,,,,,,0,,,,Septiembre de 2019
57,21.01.20 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,0,,,,Septiembre de 2019
58,21.01.30 Obligaciones por financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Septiembre de 2019
59,21.01.31 Operaciones de venta con retrocompra sobre IRV,,,,,,,,,,0,,,,Septiembre de 2019
60,21.01.32 Operaciones de venta con retrocompra sobre IRF e IIF,,,,,,,,,,0,,,,Septiembre de 2019
61,21.01.33 Otras,,,,,,,,,,0,,,,Septiembre de 2019
62,21.02.00 Pasivos del mercado de productos,0,0,0,0,0,0,0,0,0,0,0,0,0,Septiembre de 2019
63,21.02.10 A valor razonable,,,,,,,,,,0,,,,Septiembre de 2019
64,21.02.20 A valor razonable - Instrumentos derivados,,,,,,,,,,0,,,,Septiembre de 2019
65,21.02.30 Obligaciones por financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Septiembre de 2019
66,21.02.31 Operaciones de venta con retrocompra sobre productos agropecuarios,,,,,,,,,,0,,,,Septiembre de 2019
67,21.02.32 Operaciones de venta con retrocompra sobre TRP,,,,,,,,,0,0,,,,Septiembre de 2019
68,21.02.33 Otras,,,,,,,,,,0,,,,Septiembre de 2019
69,21.03.00 Obligaciones con bancos e instituciones financieras,,1346725,,,,,125,,,0,,,,Septiembre de 2019
70,21.04.00 Acreedores por intermediación,,,,0,,,787576,871635,,145395,,94905,,Septiembre de 2019
71,21.05.00 Cuentas por pagar por operaciones de cartera propia,,,0,,,,,,,0,,,,Septiembre de 2019
72,21.06.00 Cuentas por pagar a partes relacionadas,94561,478429,6993745,,38302,,,22839,,2346,,66338,2926,Septiembre de 2019
73,21.07.00 Otras cuentas por pagar,6090,53270,45492,130883,5582,5974,53154,25207,292405,22504,,6015,19776,Septiembre de 2019
74,21.08.00 Provisiones,3148,27500,119660,9122,13010,3738,18365,5691,188136,19865,,6639,7104,Septiembre de 2019
75,21.09.00 Impuestos por pagar,688,7988,0,5535,3831,101,9157,787,170996,26929,2221,16210,,Septiembre de 2019
76,21.10.00 Impuestos diferidos,197,61705,,,,,,,,0,,,,Septiembre de 2019
77,21.11.00 Otros pasivos,0,15499,,,,,,,,0,,,,Septiembre de 2019
78,21.00.00 Total Pasivos,104684,1991116,7158897,145540,60725,9813,868377,926159,651537,217039,2221,190107,29806,Septiembre de 2019
79,Patrimonio,,,,,,,,,,,,,,Septiembre de 2019
80,22.01.00 Capital,206900,433711,460000,720453,389572,387118,214000,322996,701188,484476,293000,480000,902046,Septiembre de 2019
81,22.02.00 Reservas,,149,763,-18865,,4940,3541,,18321,0,,,7287,Septiembre de 2019
82,22.03.00 Resultados acumulados,-5653,1010373,260423,-8149,-140101,54598,22648,-46557,490486,192869,-55535,-130409,477621,Septiembre de 2019
83,22.04.00 Resultado del ejercicio,5008,-124436,-88824,10675,9182,55835,49558,37960,361671,92493,3262,163801,-55401,Septiembre de 2019
84,22.05.00 Dividendos provisorios o participaciones,,,0,,,,,,,-13334,,,,Septiembre de 2019
85,22.00.00 Total Patrimonio,206255,1319797,632362,704114,258653,502491,289747,314399,1571666,756504,240727,513392,1331553,Septiembre de 2019
86,20.00.00 TOTAL PAC.M.F Y PATRIMONIO,310939,3310913,7791259,849654,319378,512304,1158124,1240558,2223203,973543,242948,703499,1361359,Septiembre de 2019
87,,,,,,,,,,,,,,,Septiembre de 2019
88,Estado de resultados integrales,,,,,,,,,,,,,,Septiembre de 2019
89,Estado de resultados,,,,,,,,,,,,,,Septiembre de 2019
90,Resultado por intermediación,,,,,,,,,,,,,,Septiembre de 2019
91,30.10.01 Comisiones por operaciones bursátiles,37586,87682,265077,241512,32666,90986,338876,292222,577030,61156,14263,112607,171,Septiembre de 2019
92,30.10.02 Comisiones por operaciones extra bursátiles,,,,,,,,,,0,,26741,,Septiembre de 2019
93,30.10.03 Gastos por comisiones y servicios,-23801,-95828,-66292,-70923,-29662,-19888,-47878,-62245,-108708,-4140,,-31886,-28618,Septiembre de 2019
94,30.10.04 Otras comisiones,0,62326,12537,,20652,,,,,50837,,,,Septiembre de 2019
95,30.10.00 Total resultado por intermediación,13785,54180,211322,170589,23656,71098,290998,229977,468322,107853,14263,107462,-28447,Septiembre de 2019
96,Ingresos por servicios,,,,,,,,,,,,,,Septiembre de 2019
97,30.20.01 Ingresos por custodia,,,,,,,,,,0,,,,Septiembre de 2019
98,30.20.02 Ingresos por asesorías,,,,,,,,0,162593,0,5695,319820,,Septiembre de 2019
99,30.20.03 Otros ingresos por servicios,,,,,,,,,,0,,,,Septiembre de 2019
100,30.20.00 Total ingresos por servicios,0,0,0,0,0,0,0,0,162593,0,5695,319820,0,Septiembre de 2019
101,Resultado por productos,,,,,,,,,,,,,,Septiembre de 2019
102,30.30.01 A valor razonable,,188402,126631,,,7189,,,-110044,0,,,,Septiembre de 2019
103,30.30.02 A valor razonable - Instrumentos derivados,,,,,,,,,,0,,,,Septiembre de 2019
104,30.30.03 A costo amortizado,,,,,,,,,,65856,,5681,2304,Septiembre de 2019
105,30.30.04 A costo amortizado - Operaciones de financiamiento,,,,,,,,,,0,,,,Septiembre de 2019
106,30.30.00 Total resultado por productos,0,188402,126631,0,0,7189,0,0,-110044,65856,0,5681,2304,Septiembre de 2019
107,Resultado por instrumentos financieros,,,,,,,,,,,,,,Septiembre de 2019
108,30.40.01 A valor razonable,6039,,,360,10043,,,,2962,0,1261,,48480,Septiembre de 2019
109,30.40.02 A valor razonable - Instrumentos financieros derivados,,,,,,,,,144083,0,,,,Septiembre de 2019
110,30.40.03 A costo amortizado,,,,,,,,,,0,,,,Septiembre de 2019
111,30.40.04 A costo amortizado - Operaciones de financiamiento,,,,,,,,,,0,,,,Septiembre de 2019
112,30.40.00 Total resultado por instrumentos financieros,6039,0,0,360,10043,0,0,0,147045,0,1261,0,48480,Septiembre de 2019
113,Resultado por operaciones de financiamiento,,,,,,,,,,,,,,Septiembre de 2019
114,30.50.01 Gastos por financiamiento del mercado de productos,,,,,,,,,,0,,,,Septiembre de 2019
115,30.50.02 Gastos por financiamiento del mercado de valores,,,,,,,,,,0,,,,Septiembre de 2019
116,30.50.03 Otros gastos financieros,,-61721,-167116,,,,,-1640,-1567,0,,,,Septiembre de 2019
117,30.50.00 Total resultado por operaciones de financiamiento,0,-61721,-167116,0,0,0,0,-1640,-1567,0,0,0,0,Septiembre de 2019
118,Gastos de administración y comercialización,,,,,,,,,,,,,,Septiembre de 2019
