Unnamed: 0,Cuentas,ADDWISE 12 / 2015,AVLA 12 / 2015,BAN TATTERSALL 12 / 2015,BCI 12 / 2015,CONTEMPORA 12 / 2015,DANK 12 / 2015,ECR OSORNO 12 / 2015,ELOY 12 / 2015,FINANCIA CAPITAL 12 / 2015,LARRAIN VIAL 12 / 2015,LATAM TRADE CAPITAL 12 / 2015,TANNER 12 / 2015,Fecha
1,RUT,76.147.513-4,76.268.236-2,76.977.670-2,76.466.468-K,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.089.848-1,99.587.310-9,76.148.647-0,76.313.350-8,Diciembre de 2015
2,Razón social,ADDWISE,AVLA,BAN TATTERSALL,BCI,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINANCIA CAPITAL,LARRAIN VIAL,LATAM TRADE CAPITAL,TANNER,Diciembre de 2015
3,,,,,,,,,,,,,,Diciembre de 2015
4,Estado de situación financiera,,,,,,,,,,,,,Diciembre de 2015
5,Activos,,,,,,,,,,,,,Diciembre de 2015
6,11.01.00 Efectivo y efectivo equivalente,408141,215410,236059,17603,451323,34841,28278,293436,23409,139328,388385,72016,Diciembre de 2015
7,11.02.00 Instrumentos financieros,,,799700,391863,0,0,0,0,0,800217,0,0,Diciembre de 2015
8,11.02.10 A valor razonable - Cartera propia disponible,,,0,0,0,0,0,0,0,800217,0,0,Diciembre de 2015
9,11.02.11 Renta variable (IRV),,,,,0,,,,,800217,,0,Diciembre de 2015
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,,,,,,,,,,,0,Diciembre de 2015
11,11.02.20 A valor razonable - Cartera propia comprometida,,,0,0,0,0,0,0,0,0,0,0,Diciembre de 2015
12,11.02.21 Renta variable,,,,,,,,,,,,0,Diciembre de 2015
13,11.02.22 Renta fija e Intermediación Financiera,,,,,,,,,,,,0,Diciembre de 2015
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,,,0,Diciembre de 2015
15,11.02.40 A costo amortizado - Cartera propia disponible,,,799700,391863,,,,,,,,0,Diciembre de 2015
16,11.02.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,,,0,Diciembre de 2015
17,11.02.60 A costo amortizado - Operaciones de financiamiento,,,0,0,0,0,0,0,0,0,0,0,Diciembre de 2015
18,11.02.61 Operaciones de compra con retroventa sobre IRV,,,,,,,,,,,,,Diciembre de 2015
19,11.02.62 Operaciones de compra con retroventa sobre IRF e IIF,,,,,,,,,,,,,Diciembre de 2015
20,11.02.63 Otras,,,,,,,,,0,,,,Diciembre de 2015
21,11.03.00 Productos,,,0,3626263,0,0,77474,0,0,131126,182615,1566597,Diciembre de 2015
22,11.03.10 A valor razonable - Cartera propia disponible,,,0,3626263,0,0,77474,0,0,131126,0,0,Diciembre de 2015
23,11.03.11 Productos agropecuarios,,,,,,,,,,,,0,Diciembre de 2015
