Unnamed: 0,Cuentas,AVLA 12 / 2020,BAN TATTERSALL 12 / 2020,BCI 12 / 2020,CONTEMPORA 12 / 2020,DANK 12 / 2020,ECR OSORNO 12 / 2020,ELOY 12 / 2020,FINMAS 12 / 2020,LARRAIN VIAL 12 / 2020,LATAM TRADE CAPITAL 12 / 2020,MOONK 12 / 2020,NUEVO CAPITAL 12 / 2020,TANNER 12 / 2020,Fecha
1,RUT,76.268.236-2,76.977.670-2,76.466.468-K,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.609.787-1,99.587.310-9,76.148.647-0,76.727.442-4,76.899.853-1,76.313.350-8,Diciembre de 2020
2,Razón social,AVLA,BAN TATTERSALL,BCI,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINMAS,LARRAIN VIAL,LATAM TRADE CAPITAL,MOONK,NUEVO CAPITAL,TANNER,Diciembre de 2020
3,,,,,,,,,,,,,,,Diciembre de 2020
4,Estado de situación financiera,,,,,,,,,,,,,,Diciembre de 2020
5,Activos,,,,,,,,,,,,,,Diciembre de 2020
6,11.01.00 Efectivo y efectivo equivalente,256096,1068711,1267,1046262,11158,21045,189765,220822,775720,156776,140717,170299,1596,Diciembre de 2020
7,11.02.00 Instrumentos financieros,0,0,0,0,135086,0,0,0,0,0,0,0,0,Diciembre de 2020
8,11.02.10 A valor razonable - Cartera propia disponible,0,0,0,0,135086,0,0,0,0,0,0,0,0,Diciembre de 2020
9,11.02.11 Renta variable (IRV),,,,0,135086,,,,0,,,,,Diciembre de 2020
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,,0,,,,,,,0,,,,Diciembre de 2020
11,11.02.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2020
12,11.02.21 Renta variable,,,,,,,,,,0,,,,Diciembre de 2020
13,11.02.22 Renta fija e Intermediación Financiera,,,,,,,,,,0,,,,Diciembre de 2020
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,0,,,,Diciembre de 2020
15,11.02.40 A costo amortizado - Cartera propia disponible,,,,,,,,,,0,,,,Diciembre de 2020
16,11.02.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,0,,,,Diciembre de 2020
17,11.02.60 A costo amortizado - Operaciones de financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2020
