Unnamed: 0,Cuentas,AVLA 06 / 2022,BAN TATTERSALL 06 / 2022,BCI 06 / 2022,CONTEMPORA 06 / 2022,DANK 06 / 2022,ECR OSORNO 06 / 2022,ELOY 06 / 2022,FINMAS 06 / 2022,LARRAIN VIAL 06 / 2022,LATAM TRADE CAPITAL 06 / 2022,MOONK 06 / 2022,NUEVO CAPITAL 06 / 2022,TANNER 06 / 2022,Fecha
1,RUT,76.268.236-2,76.977.670-2,76.466.468-K,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.609.787-1,99.587.310-9,76.148.647-0,76.727.442-4,76.899.853-1,76.313.350-8,Junio de 2022
2,Razón social,AVLA,BAN TATTERSALL,BCI,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINMAS,LARRAIN VIAL,LATAM TRADE CAPITAL,MOONK,NUEVO CAPITAL,TANNER,Junio de 2022
3,,,,,,,,,,,,,,,Junio de 2022
4,Estado de situación financiera,,,,,,,,,,,,,,Junio de 2022
5,Activos,,,,,,,,,,,,,,Junio de 2022
6,11.01.00 Efectivo y efectivo equivalente,466581,292911,513231,735436,5202,11595,203908,260442,733083,12277,140732,961449,30016,Junio de 2022
7,11.02.00 Instrumentos financieros,0,0,0,0,151310,0,0,0,0,0,0,0,0,Junio de 2022
8,11.02.10 A valor razonable - Cartera propia disponible,0,0,0,0,151310,0,0,0,0,0,0,0,0,Junio de 2022
9,11.02.11 Renta variable (IRV),,0,,0,151310,,,0,0,,,,,Junio de 2022
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,0,,,,,,0,,0,,,,Junio de 2022
11,11.02.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,0,Junio de 2022
12,11.02.21 Renta variable,,0,,,,,,0,,0,,,,Junio de 2022
13,11.02.22 Renta fija e Intermediación Financiera,,0,,,,,,0,,0,,,,Junio de 2022
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,0,,,,,,0,,0,,,,Junio de 2022
15,11.02.40 A costo amortizado - Cartera propia disponible,,0,,,,,,0,,0,,,,Junio de 2022
16,11.02.50 A costo amortizado - Cartera propia comprometida,,0,,,,,,0,,0,,,,Junio de 2022
17,11.02.60 A costo amortizado - Operaciones de financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Junio de 2022
18,11.02.61 Operaciones de compra con retroventa sobre IRV,,0,,,,,,0,,0,,,,Junio de 2022
19,11.02.62 Operaciones de compra con retroventa sobre IRF e IIF,,0,,,,,,0,,0,,,,Junio de 2022
20,11.02.63 Otras,,0,,,,,,0,,0,,,,Junio de 2022
21,11.03.00 Productos,0,1267605,16307392,0,0,258358,0,0,0,714389,0,0,0,Junio de 2022
22,11.03.10 A valor razonable - Cartera propia disponible,0,1267605,16168611,0,0,258358,0,0,0,0,0,0,0,Junio de 2022
23,11.03.11 Productos agropecuarios,,0,,,,,,,,0,,,,Junio de 2022
24,11.03.12 Títulos representativos de productos agropecuarios (TRP),,0,,,,,,,,0,,,,Junio de 2022
25,11.03.13 Facturas,,1267605,16168611,,,258358,,,0,0,,,,Junio de 2022
26,11.03.14 Títulos representativos de facturas (TRF),,0,,,,,,,,0,,,,Junio de 2022
27,11.03.15 Otros,,0,,,,,,,,0,,,,Junio de 2022
28,11.03.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,0,Junio de 2022
29,11.03.21 Productos agropecuarios,,0,,,,,,,,0,,,,Junio de 2022
30,11.03.22 Títulos representativos de productos agropecuarios,,0,,,,,,,,0,,,,Junio de 2022
31,11.03.23 Otros,,0,,,,,,,,0,,,,Junio de 2022
32,11.03.30 A valor razonable - Instrumentos derivados,,0,,,,,,,,0,,,,Junio de 2022
33,11.03.40 A costo amortizado - Cartera propia disponible,0,0,0,0,0,0,0,0,0,714389,0,0,0,Junio de 2022
34,11.03.41 Facturas,,0,0,,,,,,,714389,,,,Junio de 2022
35,11.03.42 Títulos representativos de facturas,,0,,,,,,,,0,,,,Junio de 2022
36,11.03.43 Otros,,0,,,,,,,,0,,,,Junio de 2022
37,11.03.50 A costo amortizado - Cartera propia comprometida,,0,,,,,,,,0,,,,Junio de 2022
38,11.03.60 A costo amortizado - Operaciones de financiamiento,0,0,138781,0,0,0,0,0,0,0,0,0,0,Junio de 2022
39,11.03.61 Operaciones de compra con retroventa sobre productos agropecuarios,,0,,,,,,,,0,,,,Junio de 2022
40,11.03.62 Operaciones de compra con retroventa sobre TRP,,0,138781,,,,,,,0,,,,Junio de 2022
41,11.03.63 Otras,,0,,,,,,0,,0,,,,Junio de 2022
42,11.04.00 Deudores por intermediación,,0,,0,,,,0,,0,,1916104,,Junio de 2022
43,11.05.00 Cuentas por cobrar por operaciones de cartera propia,,0,,,,,,,,0,,,,Junio de 2022
44,11.06.00 Cuentas por cobrar a partes relacionadas,16847,429841,173622,15594,53623,,,10320,0,0,,,603051,Junio de 2022
45,11.07.00 Otras cuentas por cobrar,,16013,1601,0,,57,,2774,337329,0,,,1231,Junio de 2022
46,11.08.00 Impuestos por cobrar,15510,3760,55925,,7378,8192,26777,964,12046,6603,24146,16895,,Junio de 2022
47,11.09.00 Impuestos diferidos,34791,130755,277504,132049,47750,25476,,14366,418317,68187,39143,10008,65630,Junio de 2022
48,11.10.00 Inversiones en sociedades,30024,178079,,201741,29408,178252,31602,,178079,0,,50880,154866,Junio de 2022
49,11.11.00 Intangibles,,2752,0,0,,,1688,53015,0,33705,50652,40884,,Junio de 2022
50,"11.12.00 Propiedades, planta y equipo",,678,3367,537,,,12400,2686,0,0,,,,Junio de 2022
51,11.13.00 Otros activos,2731,781749,0,,,,,6089,0,3200,2723,1513,619,Junio de 2022
52,10.00.00 Total Activos,566484,3104143,17332642,1085357,294671,481930,276375,350656,1678854,838361,257396,2997733,855413,Junio de 2022
53,Pasivos y Patrimonio,,,,,,,,,,,,,,Junio de 2022
54,Pasivos,,,,,,,,,,,,,,Junio de 2022
55,21.01.00 Pasivos financieros,0,0,0,0,0,0,0,0,0,0,0,0,0,Junio de 2022
56,21.01.10 A valor razonable,,0,,,,,,,,0,,,,Junio de 2022
57,21.01.20 A valor razonable - Instrumentos financieros derivados,,0,,,,,,,,0,,,,Junio de 2022
58,21.01.30 Obligaciones por financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Junio de 2022
59,21.01.31 Operaciones de venta con retrocompra sobre IRV,,0,,,,,,,,0,,,,Junio de 2022
60,21.01.32 Operaciones de venta con retrocompra sobre IRF e IIF,,0,,,,,,,,0,,,,Junio de 2022
61,21.01.33 Otras,,0,,,,,,,,0,,,,Junio de 2022
62,21.02.00 Pasivos del mercado de productos,0,0,0,0,0,0,0,0,0,0,0,0,0,Junio de 2022
63,21.02.10 A valor razonable,,0,,,,,,,,0,,,,Junio de 2022
64,21.02.20 A valor razonable - Instrumentos derivados,,0,,,,,,,,0,,,,Junio de 2022
65,21.02.30 Obligaciones por financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Junio de 2022
66,21.02.31 Operaciones de venta con retrocompra sobre productos agropecuarios,,0,,,,,,,,0,,,,Junio de 2022
67,21.02.32 Operaciones de venta con retrocompra sobre TRP,,0,,,,,,,0,0,,,,Junio de 2022
68,21.02.33 Otras,,0,,,,,,,,0,,,,Junio de 2022
69,21.03.00 Obligaciones con bancos e instituciones financieras,,1387946,,,,,101323,0,,0,,,,Junio de 2022
70,21.04.00 Acreedores por intermediación,,0,,0,,,,38408,,0,,2352520,,Junio de 2022
71,21.05.00 Cuentas por pagar por operaciones de cartera propia,,0,87636,,,,,0,,0,,,,Junio de 2022
72,21.06.00 Cuentas por pagar a partes relacionadas,266088,230,15988261,0,,,,3866,0,62819,,,,Junio de 2022
73,21.07.00 Otras cuentas por pagar,17974,129523,17050,369172,4513,155,24100,30263,823634,109796,4367,20974,31415,Junio de 2022
74,21.08.00 Provisiones,,10690,72485,8306,,3948,,3532,35111,6065,,28321,10276,Junio de 2022
75,21.09.00 Impuestos por pagar,,0,,3072,,,576,3156,1446,61,18,29749,3457,Junio de 2022
76,21.10.00 Impuestos diferidos,,743,,,,,,,,0,,,,Junio de 2022
77,21.11.00 Otros pasivos,,21664,,,,,,,,0,,,,Junio de 2022
78,21.00.00 Total Pasivos,284062,1550796,16165432,380550,4513,4103,125999,79225,860191,178741,4385,2431564,45148,Junio de 2022
79,Patrimonio,,,,,,,,,,,,,,Junio de 2022
80,22.01.00 Capital,311661,433711,1290423,720453,389572,387118,214000,358728,701188,484476,353000,480000,902046,Junio de 2022
81,22.02.00 Reservas,,0,0,-18865,,1078,7050,0,20978,0,,,-21597,Junio de 2022
82,22.03.00 Resultados acumulados,-41901,1062599,-173591,-12317,-86787,64544,-59919,-120707,156730,177059,-80683,92541,-142115,Junio de 2022
83,22.04.00 Resultado del ejercicio,12662,57037,125473,15536,-12627,25087,-10755,33410,-60233,-1915,-19306,92169,71931,Junio de 2022
84,22.05.00 Dividendos provisorios o participaciones,,0,-75095,,,,,0,,0,,-98541,,Junio de 2022
85,22.00.00 Total Patrimonio,282422,1553347,1167210,704807,290158,477827,150376,271431,818663,659620,253011,566169,810265,Junio de 2022
86,20.00.00 TOTAL PAC.M.F Y PATRIMONIO,566484,3104143,17332642,1085357,294671,481930,276375,350656,1678854,838361,257396,2997733,855413,Junio de 2022
87,,,,,,,,,,,,,,,Junio de 2022
88,Estado de resultados integrales,,,,,,,,,,,,,,Junio de 2022
89,Estado de resultados,,,,,,,,,,,,,,Junio de 2022
90,Resultado por intermediación,,,,,,,,,,,,,,Junio de 2022
91,30.10.01 Comisiones por operaciones bursátiles,20514,36780,85514,27168,,6552,,158050,51548,34905,2198,2126,,Junio de 2022
92,30.10.02 Comisiones por operaciones extra bursátiles,,0,,,,,,0,,0,,,,Junio de 2022
93,30.10.03 Gastos por comisiones y servicios,-10910,-22707,-6584,-15156,-20881,-15575,,-44920,-9931,-4412,,-93404,-14905,Junio de 2022
94,30.10.04 Otras comisiones,,34570,11763,,,,,1791,,0,,265603,,Junio de 2022
95,30.10.00 Total resultado por intermediación,9604,48643,90693,12012,-20881,-9023,0,114921,41617,30493,2198,174325,-14905,Junio de 2022
96,Ingresos por servicios,,,,,,,,,,,,,,Junio de 2022
97,30.20.01 Ingresos por custodia,,0,,,,,,0,,0,,,,Junio de 2022
98,30.20.02 Ingresos por asesorías,,0,,,,9000,,,0,0,,,,Junio de 2022
